Origin,Date_of_Variable_Modification,Map_to_OMOP,transferred_to_fairhub,Protected_or_open-source,EXTENSION_NEEDED,FORM_NAME,MOCA_FILE_FIELDNAME,MOCA_FILE_FIELDNAME_NAMING_UNIT,SRC_CODE,SRC_CODE_DESCRIPTION,UCUM_CONCEPT_ID,Example_Data,DATA_TYPE,VALUE_RANGE,Data_Description,Equivalent_NDA_MOCA_element_name,TARGET_CONCEPT_ID,LOCAL_CONCEPT_ID,TARGET_CONCEPT_NAME,TARGET_DOMAIN_ID,TARGET_VOCABULARY_ID,TARGET_CONCEPT_CLASS_ID,TARGET_STANDARD_CONCEPT,TARGET_CONCEPT_CODE,PREDICATE_ID,CONFIDENCE,MODIFIER,NOTES,Choices_Calculations_OR_Slider_Labels,Ext_Vocabulary_ID,Ext_Subvocabulary_ID,Column_Name ,Ext_Domain,Ext_Concept_Name ,Ext_Concept_Code  ,Ext_Notes
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Time(sec.),repetition_time,repetition_time,Time in seconds to perform the above task.,8555,5,Integer,,Time in seconds to perform the above task.,none,2005200360,2005200360,Time in seconds to perform repeats sentences II task,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Time(sec.),Observation,Time in seconds to perform the above task.,,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Fluency,,fluency_language,Maximal one-minute recall of words beginning with 'F',,0,Integer,0-1,Maximal one-minute recall of words beginning with 'F',language_letter,2005200361,2005200361,Maximal one-minute recall of words beginning with 'F' score,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Fluency,Observation,Maximal one-minute recall of words beginning with 'F',,
Changed,5/16/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Time(sec.),fluency_language_time,fluency_language_time,Time in seconds to perform the above task.,8555,60,Integer,,Time in seconds to perform the above task.,none,2005200362,2005200362,Time in seconds to perform the words beginning with 'F' recall task,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Time(sec.),Observation,Time in seconds to perform the above task.,,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Abstraction,,moca_abstraction,MOCA abstraction,,2,Integer,0-2,MOCA abstraction,mabst,2005200363,2005200363,MOCA abstraction score,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Abstraction,Observation,MOCA abstraction,,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Time(sec.),abstraction_time,moca_abstraction_time,Time in seconds to perform the above task.,8555,9,Integer,,Time in seconds to perform the above task.,none,2005200364,2005200364,Time in seconds to perform MOCA abstraction task,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Time(sec.),Observation,Time in seconds to perform the above task.,,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Delayed Recall,,delayed_recall_with_no_clue,MOCA delayed recall with no cue,,5,Integer,0-5,MOCA delayed recall with no cue,mdrnc,2005200365,2005200365,MOCA delayed recall with no cue score,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Delayed Recall,Observation,MOCA delayed recall with no cue,,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Time(sec.),delayedrecall_time,delayed_recall_with_no_clue_time,Time in seconds to perform the above task.,8555,4,Integer,,Time in seconds to perform the above task.,none,2005200366,2005200366,Time in seconds to perform the MOCA delayed recall with no cue task,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Time(sec.),Observation,Time in seconds to perform the above task.,,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Orientation,,moca_orientation,"MOCA orientation date, month, year, day, place, city",,6,Integer,0-6,"MOCA orientation date, month, year, day, place, city","modate, momon, moyear, moday, mopl, mocity",2005200367,2005200367,"MOCA orientation date, month, year, day, place, city score",Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Orientation,Observation,"MOCA orientation date, month, year, day, place, city",,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Time(sec.),orientation_time,moca_orientation_time,Time in seconds to perform the above task.,8555,6,Integer,,Time in seconds to perform the above task.,none,2005200368,2005200368,"Time in seconds to perform the MOCA orientation date, month, year, day, place, city task",Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Time(sec.),Observation,Time in seconds to perform the above task.,,
Changed,4/5/2024,No,,protected,No,MOCA (Version 8.1),Subject's Gender,,sex_at_birth,Sex of subject at birth,,Female,String,,Sex of subject at birth,sex,46235213,,Sex assigned at birth,Observation,LOINC,Clinical Observation,S,76689-9,skos:exactMatch,1,,,,AIREADI,,Subject's Gender,Observation,Sex of subject at birth,76689-9:skos:exactMatch:1:,
Original,10/31/2023,Yes,,open-source,No,MOCA (Version 8.1),Subject's Education,,years_of_education,Years of school education,9448,16,Integer,,Years of school education,years_of_school,42528764,,Years of education in number - Reported,Observation,LOINC,Clinical Observation,S,82590-1,skos:exactMatch,1,,,,AIREADI,,Subject's Education,Observation,Years of school education,82590-1:skos:exactMatch:1:,
Changed,5/22/2024,Yes,,open-source,Yes,MOCA (Version 8.1),Age Range,,age_years_at_interview,"pull down menu of 3-4 year age spans, age in years",,24 - 26,Integer Range,,"pull down menu of 3-4 year age spans, age in years","not exactly the same as interview_age, which is in months",2005200369,2005200369,Age in years (3-4 year span),Observation,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Age Range,Observation,"pull down menu of 3-4 year age spans, age in years",,
Changed,5/1/2024,Yes,,open-source,Yes,MOCA (Version 8.1),MIS Score,,moca_combined_mis_score,"combined score of MOCA delayed recall with no cue, MOCA delayed recall category cue (not included in total score), MOCA delayed recall multiple choice cue ( not included in total score)",,15,Integer,0-15,"combined score of MOCA delayed recall with no cue, MOCA delayed recall category cue (not included in total score), MOCA delayed recall multiple choice cue ( not included in total score)","mdrnc, mdrcc, mdrmcc",2005200370,2005200370,"MOCA delayed recall with no cue, cue, and multiple choice cue (Combined score)",Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,MIS Score,Observation,"combined score of MOCA delayed recall with no cue, MOCA delayed recall category cue (not included in total score), MOCA delayed recall multiple choice cue ( not included in total score)",,
Original,10/31/2023,Yes,,open-source,No,MOCA (Version 8.1),Total Time,,moca_total_score_time,total time data for entire test,,03 mins 28seconds,Time Duration,,total time data for entire test,none,1988422,,Time to complete survey,Observation,LOINC,Survey,S,99423-6,skos:closeMatch,0.75,,,,AIREADI,,Total Time,Observation,total time data for entire test,99423-6:skos:closeMatch:0.75:,
Original,10/31/2023,Yes,,open-source,No,MOCA (Version 8.1),Total Score,,moca_total_score,Montreal Cognitive Assessment Total Score,,24,Integer,0-30,Montreal Cognitive Assessment Total Score,moca_total,37174522,,Montreal cognitive assessment score,Measurement,SNOMED,Observable Entity,S,1255891005,skos:exactMatch,1,,,,AIREADI,,Total Score,Observation,Montreal Cognitive Assessment Total Score,1255891005:skos:exactMatch:1:,
Added,6/7/2024,Yes,Yes,open-source,Yes,,data_source_provenance,,app_generated,Application Generated Data,,,,,,,2005200660,2005200660,Application Generated Data,Type Concept,AIREADI-MOCA,Type Concept,S,,skos:exactMatch,1,,,,AIREADI,MOCA,data_source_provenance,,,,
Added,6/7/2024,Yes,Yes,open-source,Yes,,data_source_provenance,,manually_entered_from_paper,Manually Entered Data Using a Paper Form,,,,,,,2005200661,2005200661,Manually Entered Data Using a Paper Form,Type Concept,AIREADI-MOCA,Type Concept,S,,skos:exactMatch,1,,,,AIREADI,MOCA,data_source_provenance,,,,
