Origin,DateofVariableModification,MaptoOMOP,transferred to fairhub,Protected or open-source?,Extension_Needed,FORM_NAME,MOCA File Fieldname,MOCA File Fieldname_Naming_Unit,SRC_CODE,SRC_CODE_DESCRITPION,UCUM_Concept_ID,Target_Domain_ID,Example Data,Data Type,Value Range,Data Description,Equivalent NDA MOCA element name (at https://nda.nih.gov/data_structure.htmlshort_name=moca01),TARGET_CONCEPT_ID,LOCAL_CONCEPT_ID,TARGET_CONCEPT_NAME,TARGET_DOMAIN_ID,TARGET_VOCABULARY_ID,TARGET_CONCEPT_CLASS_ID,TARGET_STANDARD_CONCEPT,TARGET_CONCEPT_CODE,PREDICATE_ID,CONFIDENCE,MODIFIER,NOTES,"Choices, Calculations, OR Slider Labels",Ext_Vocabulary_ID,Ext_Subvocabulary_ID,Column_Name ,Ext_Domain,Ext_Concept_Name ,Ext_Concept_Code  ,Ext_Notes
Changed,5/1/2024,Yes,,,Yes,MOCA (Version 8.1),Time(sec.),fluency_time,sec,seconds,8555,measurement,60,Integer,,Time in seconds to perform the above task.,none,2005200351,2005200351,Time in seconds to perform the above task.,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Time(sec.),Observation,Time in seconds to perform the above task.,,
Changed,5/1/2024,Yes,,,Yes,MOCA (Version 8.1),Abstraction,,moca_abstraction,,,observation,2,Integer,0-2,MOCA abstraction,mabst,2005200357,2005200357,MOCA abstraction,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Abstraction,Observation,MOCA abstraction,,
Changed,5/1/2024,Yes,,,Yes,MOCA (Version 8.1),Time(sec.),abstraction_time,sec,,,measurement,9,Integer,,Time in seconds to perform the above task.,none,2005200351,2005200351,Time in seconds to perform the above task.,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Time(sec.),Observation,Time in seconds to perform the above task.,,
Changed,5/1/2024,Yes,,,Yes,MOCA (Version 8.1),Delayed Recall,,delayed_recall_with_no_clue,,,observation,5,Integer,0-5,MOCA delayed recall with no cue,mdrnc,2005200358,2005200358,MOCA delayed recall with no cue,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Delayed Recall,Observation,MOCA delayed recall with no cue,,
Changed,5/1/2024,Yes,,,Yes,MOCA (Version 8.1),Time(sec.),delayedrecall_time,sec,seconds,8555,measurement,4,Integer,,Time in seconds to perform the above task.,none,2005200351,2005200351,Time in seconds to perform the above task.,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Time(sec.),Observation,Time in seconds to perform the above task.,,
Changed,5/1/2024,Yes,,,Yes,MOCA (Version 8.1),Orientation,,moca_orientation,,,observation,6,Integer,0-6,"MOCA orientation date, month, year, day, place, city","modate, momon, moyear, moday, mopl, mocity",2005200359,2005200359,"MOCA orientation date, month, year, day, place, city",Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Orientation,Observation,"MOCA orientation date, month, year, day, place, city",,
Changed,5/1/2024,Yes,,,Yes,MOCA (Version 8.1),Time(sec.),orientation_time,sec,seconds,8555,measurement,6,Integer,,Time in seconds to perform the above task.,none,2005200351,2005200351,Time in seconds to perform the above task.,Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Time(sec.),Observation,Time in seconds to perform the above task.,,
Original,4/5/2024,No,,,No,MOCA (Version 8.1),Subject's Gender,,sex_at_birth,,,person,Female,String,,Sex of subject at birth,sex,46235213,,Sex assigned at birth,Observation,LOINC,Clinical Observation,S,76689-9,skos:exactMatch,1,,,,AIREADI,,Subject's Gender,Observation,Sex of subject at birth,76689-9:skos:exactMatch:1:,
Original,10/31/2023,Yes,,,No,MOCA (Version 8.1),Subject's Education,,years_of_education,,,observation,16,Integer,,Years of school education,years_of_school,42528764,,Years of education [#] - Reported,Observation,LOINC,Clinical Observation,S,82590-1,skos:exactMatch,1,,,,AIREADI,,Subject's Education,Observation,Years of school education,82590-1:skos:exactMatch:1:,
Changed,5/1/2024,Yes,,,Yes,MOCA (Version 8.1),Age Range,,age_years,,,observation,24 - 26,Integer Range,,"pull down menu of 3-4 year age spans, age in years","not exactly the same as interview_age, which is in months",2005200360,2005200360,"pull down menu of 3-4 year age spans, age in years",Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,Age Range,Observation,"pull down menu of 3-4 year age spans, age in years",,
Changed,5/1/2024,Yes,,,Yes,MOCA (Version 8.1),MIS Score,,moca_combined_mis_score,,,observation,15,Integer,0-15,"combined score of MOCA delayed recall with no cue, MOCA delayed recall category cue (not included in total score), MOCA delayed recall multiple choice cue ( not included in total score)","mdrnc, mdrcc, mdrmcc",2005200361,2005200361,"combined score of MOCA delayed recall with no cue, MOCA delayed recall category cue (not included in total score), MOCA delayed recall multiple choice cue ( not included in total score)",Measurement,AIREADI-MOCA,Observable Entity,S,,skos:exactMatch,1,,,,AIREADI,MOCA,MIS Score,Observation,"combined score of MOCA delayed recall with no cue, MOCA delayed recall category cue (not included in total score), MOCA delayed recall multiple choice cue ( not included in total score)",,
Original,10/31/2023,Yes,,,No,MOCA (Version 8.1),Total Time,,sec?,,,measurement,03 mins 28seconds,Time Duration,,total time data for entire test,none,1988422,,Time to complete survey,Observation,LOINC,Survey,S,99423-6,skos:closeMatch,0.75,,,,AIREADI,,Total Time,Observation,total time data for entire test,99423-6:skos:closeMatch:0.75:,
Original,10/31/2023,Yes,,,No,MOCA (Version 8.1),Total Score,,moca_total_score,,,observation,24,Integer,0-30,Montreal Cognitive Assessment Total Score,moca_total,36684973,,Montreal cognitive assessment score,Observation,SNOMED,Observable Entity,S,459651000124107,skos:exactMatch,1,,,,AIREADI,,Total Score,Observation,Montreal Cognitive Assessment Total Score,459651000124107:skos:exactMatch:1:,
